dealId,state,issuer,dealAmount,datedDate,series,corpProject,leadManager,saleDate,taxStatus,moody_rating,sand_rating,fitch_rating,issue_type,offering_type,first_coupon_date,first_call_date,security_type,bank_qualified,sp_rating,bond_insurance,paying_agent
0x0010359DECE801BD,WI,PUBLIC FIN AUTH WIS ED REV,18295000.0,2018-10-31,2018-A,Coral Academy of Science Las Vegas,STIFEL NICOLAUS AND CO INC,2018-10-18,US FEDERAL TAX EXEMPT,N/A / N/A,NR / N/A / N/A,N/A / N/A,Bond,Negotiated,07/01/2019,07/01/2028,LOAN AGREEMENT,No,NR / N/A / N/A,N/A,US BANK NA
0x001035B63837019D,TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,25380000.0,2017-08-31,2017-B,Uplift Education,ROBERT W BAIRD CO INC,2017-08-22,US FEDERAL TAX EXEMPT,N/A / N/A,NR / N/A / N/A,N/A / N/A,Bond,Negotiated,12/01/2017,06/01/2027,LOAN AGREEMENT,No,NR / N/A / N/A,N/A,BANK OF NEW YORK MELLON TRUST CO NA
0x0010355C146D0808,TX,CLIFTON TEX HIGHER ED FIN CORP ED REV,61010000.0,2023-06-21,2023-A,Valor Education,ROBERT W BAIRD AND CO INC,2023-06-09,US FEDERAL TAX EXEMPT,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Limited,12/15/2023,06/15/2031,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,REGIONS BANK
0x001035D1037D058F,FL,PINELLAS CNTY FLA EDL FACS AUTH REV,315000.0,2021-11-05,2021-B,Athenian Academy Project,HILLTOP SECURITIES INC,2021-11-03,US FEDERAL TAXABLE,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Private Placement,06/15/2022,N/A,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,UMB BANK NA
0x00106A9DF7AE01BF,UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,6225000.0,2024-11-12,2024-A,Wasatch Peak Academy Project,RAYMOND JAMES AND ASSOCIATES INC,2024-10-31,US FEDERAL TAX EXEMPT,N/A / N/A,AA / N/A / N/A,N/A / N/A,Bond,Negotiated,04/15/2025,10/15/2032,LOAN AGREEMENT,No,AA / N/A / N/A,N/A,ZIONS BANCORPORATION NA
0x001035B8217401C9,CA,CALIFORNIA SCH FIN AUTH EDL FACS REV,23335000.0,2017-12-28,2017-A,River Springs Charter School,STIFEL NICOLAUS AND CO INC,2017-12-14,US FEDERAL TAX EXEMPT,Ba1 / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Limited,07/01/2018,07/01/2027,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,US BANK TRUST CO NA
0x001035D1BBBB00F4,IN,INDIANA ST FIN AUTH REV,16770000.0,2016-12-21,2016,Lighthouse Academies of Indiana Inc Project,BB AND T CAPITAL MARKETS,2016-12-16,US FEDERAL TAX EXEMPT,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Limited,06/01/2017,12/01/2024,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,UMB BANK NA
0x001035135D36075A,OR,OREGON ST FACS AUTH CHARTER SCH REV,320000.0,2022-11-30,2022-B,Academy for Character Education Project,DA DAVIDSON AND CO,2022-11-16,US FEDERAL TAXABLE,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Limited,06/15/2023,N/A,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,ZIONS BANCORPORATION NA
0x0010355D287E0729,WI,PUBLIC FIN AUTH WIS ED REV,1775000.0,2023-01-06,2021 A-2,Excelsior Classical Academy,TRUIST SECURITIES INC,2023-01-04,US FEDERAL TAX EXEMPT,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Limited,06/01/2023,12/01/2033,REVENUE,No,N/A / N/A / N/A,N/A,WILMINGTON TRUST NA
0x001021008C1948EC,UT,UTAH ST CHARTER SCH FIN AUTH CHARTER SCH REV,13455000.0,2015-07-02,2015,Mountainville Academy,STIFEL NICOLAUS AND CO INC,2015-06-18,US FEDERAL TAX EXEMPT,N/A / N/A,AA / N/A / N/A,N/A / N/A,Bond,Negotiated,10/15/2015,04/15/2020,LOAN AGREEMENT,No,NR / N/A / N/A,N/A,US BANK NA
0x001035D304970164,MI,MERRITT ACADEMY MICH PUB SCH ACADEMY REV,6695000.0,2018-04-30,2018,N/A,HERBERT J SIMS AND CO INC,2018-03-28,US FEDERAL TAX EXEMPT,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Negotiated,12/01/2018,12/01/2023,REVENUE,No,N/A / N/A / N/A,N/A,US BANK NA
0x0010352BF00E04F4,AZ,ARIZONA INDL DEV AUTH REV,400000.0,2020-10-22,2020-B,Mater Academy of Nevada Bonanza Campus Project,DA DAVIDSON AND CO,2020-10-08,US FEDERAL TAXABLE,N/A / N/A,NR / N/A / N/A,N/A / N/A,Bond,Limited,06/15/2021,N/A,LOAN AGREEMENT,No,NR / N/A / N/A,N/A,ZIONS BANCORPORATION NA
0x0010357B8D55088E,CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,21180000.0,2023-06-14,2023,Partnerships to Uplift Communities Project,RBC CAPITAL MARKETS LLC,2023-05-24,US FEDERAL TAX EXEMPT,N/A / N/A,BB / N/A / N/A,N/A / N/A,Bond,Limited,08/01/2023,08/01/2033,LOAN AGREEMENT,No,BB / N/A / N/A,N/A,ZIONS BANCORPORATION NA
0x001035A66E80066B,CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,52060000.0,2022-07-06,2022-A,John Adams Academies,RBC CAPITAL MARKETS LLC,2022-05-26,US FEDERAL TAX EXEMPT,N/A / N/A,BB / N/A / N/A,N/A / N/A,Bond,Limited,01/01/2023,07/01/2030,LOAN AGREEMENT,No,BB / N/A / N/A,N/A,US BANK TRUST CO NA
0x001035EE230205EF,AR,ARKANSAS ST DEV FIN AUTH CHARTER SCH REV,21595000.0,2021-07-20,2021-A,Responsiveed Holdings LLC Responsive Education,CREWS AND ASSOCIATES INC,2021-07-01,US FEDERAL TAX EXEMPT,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Negotiated,12/01/2021,12/01/2028,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,BANK OZK
0x001035CC889A05FE,ID,IDAHO HSG & FIN ASSN NONPROFIT FACS REV,13685000.0,2021-12-08,2021-A,Blackfoot Charter Community Learning Center,DA DAVIDSON AND CO INC,2021-12-01,US FEDERAL TAX EXEMPT,N/A / N/A,N/A / N/A / N/A,N/A / N/A,Bond,Limited,05/01/2022,05/01/2028,LOAN AGREEMENT,No,N/A / N/A / N/A,N/A,UMB BANK NA
