cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo
04052FAY1,2021-11-01,645000.0,4.0,104.249,0.38,28.0,28.0,0x001035C209C90324,,,,,
04052FAZ8,2022-11-01,2000000.0,4.0,107.775,0.41,30.0,30.0,0x001035C209C90324,,,,,
04052FBA2,2023-11-01,2375000.0,4.0,111.087,0.48,36.0,36.0,0x001035C209C90324,,,,,
04052FBB0,2024-11-01,2470000.0,4.0,114.05,0.59,44.0,44.0,0x001035C209C90324,,,,,
04052FBC8,2025-11-01,2565000.0,4.0,116.806,0.69,50.0,48.5,0x001035C209C90324,100.1646251592,3.4016240864,94.2,94.2,MATY
04052FBD6,2026-11-01,2675000.0,4.0,119.05,0.83,54.0,53.2,0x001035C209C90324,101.0813841314,3.1361726765,67.6,67.6,MATY
04052FBE4,2027-11-01,2780000.0,4.0,120.958,0.97,58.0,57.199999999999996,0x001035C209C90324,101.5804450999,3.2767001381,81.7,81.7,MATY
04052FBF1,2028-11-01,2890000.0,4.0,122.444,1.12,65.00000000000001,63.500000000000014,0x001035C209C90324,101.77966525,3.4223744422,95.2,95.2,MATY
04052FBG9,2029-11-01,3005000.0,4.0,123.675,1.26,72.0,70.5,0x001035C209C90324,102.274691564,3.4245141311,95.5,93.5,MATY
04052FBH7,2030-11-01,3125000.0,4.0,125.227,1.34,73.0,71.5,0x001035C209C90324,102.1836038771,3.5429357441,99.3,98.3,MATY
04052FBJ3,2031-11-01,3250000.0,5.0,134.036,1.4,73.0,72.19999999999999,0x001035C209C90324,106.6879687669,3.5995072243,90.0,90.0,PARC
04052FBK0,2032-11-01,3415000.0,5.0,133.142,1.48,74.0,73.2,0x001035C209C90324,106.6063438974,3.6159520944,76.6,74.6,PARC
04052FBL8,2033-11-01,3600000.0,5.0,132.255,1.56,74.0,73.2,0x001035C209C90324,105.9160040023,3.75562882,81.6,80.6,PARC
04052FBM6,2034-11-01,3880000.0,5.0,131.814,1.6,73.0,,0x001035C209C90324,105.2881470536,3.8835960688,79.4,77.4,PARC
04052FBN4,2035-11-01,4235000.0,5.0,131.375,1.64,72.0,,0x001035C209C90324,104.4033520966,4.0654632358,80.5,79.5,PARC
04052FBP9,2036-11-01,4315000.0,4.0,119.552,1.88,92.0,,0x001035C209C90324,95.9459775708,4.460292903,103.0,101.0,MATY
04052FBQ7,2037-11-01,4405000.0,4.0,119.144,1.92,92.0,,0x001035C209C90324,94.3879596172,4.6023304853,104.2,102.2,MATY
04052FBR5,2038-11-01,4795000.0,4.0,118.737,1.96,92.0,,0x001035C209C90324,93.123593305,4.7009901471,101.1,101.1,MATY
04052FBS3,2039-11-01,5340000.0,4.0,118.332,2.0,92.0,,0x001035C209C90324,93.7484596203,4.6012049751,81.1,,MATY
04052FBT1,2040-11-01,5655000.0,4.0,117.929,2.04,91.99999999999999,,0x001035C209C90324,90.8978705578,4.8492847057,94.9,,MATY
