state,issuer,dated_date,series,corp_project,deal_amount,sale_date,first_coupon_date,first_call_date,issue_type,offering_type,security_type,tax_status,bank_qualified,moody_rating,sp_rating,fitch_rating,bond_insurance,lead_manager,paying_agent,deal_id
AZ,ARIZONA INDL DEV AUTH NATL CHARTER SCH REVOLVING LN FD REV,08/27/2020,2020-A,N/A,"$122,710,000.00",08/12/2020,05/01/2021,11/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035C209C90324
AZ,ARIZONA INDL DEV AUTH REV,07/16/2020,2020,Parker Performing Arts School Project/Parker Performing Arts School Project,"$20,635,000.00",07/15/2020,12/15/2020,06/15/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,FMSBONDS INC,UMB BANK NA,0x001035C690730303
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,08/06/2020,2020-B,Uplift Education/Uplift Education,"$190,000.00",07/29/2020,12/01/2020,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,WR / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,BANK OF NEW YORK MELLON TRUST CO NA,0x001035026CB503FD
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,08/06/2020,2020-A,Uplift Education/Uplift Education,"$28,535,000.00",07/29/2020,12/01/2020,06/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Baa2 / N/A,NR / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,BANK OF NEW YORK MELLON TRUST CO NA,0x001035016CB503FE
TX,ARLINGTON HIGHER EDUCATION FINANCE CORPORATION,09/30/2020,2020,Kipp Texas Inc/Kipp Texas Inc,"$54,010,000.00",08/20/2020,02/15/2021,08/15/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,REGIONS BANK,0x00103582A1D203D7
CA,CALIFORNIA INFRASTRUCTURE & ECONOMIC DEV BK NATL CHARTER SCH REVOLVING LN FD REV,08/27/2020,2020-B,N/A,"$48,115,000.00",08/12/2020,05/01/2021,11/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035C309C90325
CA,CALIFORNIA INFRASTRUCTURE & ECONOMIC DEV BK REV,N/A,2020-B,Wonderful Foundations Charter School Portfolio/Wonderful Foundations Charter School Portfolio,"$11,342,822.00",07/15/2020,N/A,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CITIGROUP GLOBAL MARKETS INC,WILMINGTON TRUST NA,0x00103580DEA703DF
CA,CALIFORNIA INFRASTRUCTURE & ECONOMIC DEV BK REV,07/30/2020,2020 A-2,Wonderful Foundations Charter School Portfolio/Wonderful Foundations Charter School Portfolio,"$920,000.00",07/15/2020,01/01/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CITIGROUP GLOBAL MARKETS INC,WILMINGTON TRUST NA,0x001035E1E1A40382
CA,CALIFORNIA INFRASTRUCTURE & ECONOMIC DEV BK REV,07/30/2020,2020 A-1,Wonderful Foundations Charter School Portfolio/Wonderful Foundations Charter School Portfolio,"$27,345,000.00",07/15/2020,01/01/2021,01/01/2024,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CITIGROUP GLOBAL MARKETS INC,WILMINGTON TRUST NA,0x001035D9E1A403BA
CA,CALIFORNIA MUN FIN AUTH REV,08/27/2020,2020,Highlands Community Charter and Technical Schools/Highlands Community Charter and Technical Schools,"$6,600,000.00",08/19/2020,11/15/2021,07/01/2021,Revenue Anticipation Note,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,STIFEL NICOLAUS AND CO INC,WILMINGTON TRUST NA,0x0010357E13D7039C
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,07/23/2020,2020-B,College Preparatory Middle School Project/College Preparatory Middle School Project,"$330,000.00",07/21/2020,12/15/2020,07/23/2020,Bond,Private Placement,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,UMB BANK NA,0x00103578D0B0033E
CA,CALIFORNIA SCH FIN AUTH CHARTER SCH REV,07/23/2020,2020-A,College Preparatory Middle School Project/College Preparatory Middle School Project,"$11,750,000.00",07/21/2020,12/15/2020,07/23/2020,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,UMB BANK NA,0x00103577D0B00331
FL,CAPITAL TR AGY FLA EDL FACS REV,08/27/2020,2020-B,Liza Jackson Preparatory School Inc Project/Liza Jackson Preparatory School Inc Project,"$240,000.00",08/13/2020,02/01/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,WR / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,WILMINGTON TRUST NA,0x001035E15FCB0353
FL,CAPITAL TR AGY FLA EDL FACS REV,08/27/2020,2020-A,Liza Jackson Preparatory School Inc Project/Liza Jackson Preparatory School Inc Project,"$17,385,000.00",08/13/2020,02/01/2021,08/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Baa3 / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,WILMINGTON TRUST NA,0x001035E05FCB0352
FL,CAPITAL TR AGY FLA EDL FACS REV,09/02/2020,2020-B,Team Success a School of Excellence Inc Projects/Team Success a School of Excellence Inc Projects,"$565,000.00",08/13/2020,12/01/2020,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,US BANK NA,0x001035D55FCB0367
FL,CAPITAL TR AGY FLA EDL FACS REV,09/02/2020,2020-A,Team Success a School of Excellence Inc Projects/Team Success a School of Excellence Inc Projects,"$17,085,000.00",08/13/2020,12/01/2020,06/01/2026,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,US BANK NA,0x001035B709C90351
FL,CAPITAL TR AGY FLA REV,N/A,2020-B,Wonderful Foundations Charter School Portfolio/Wonderful Foundations Charter School Portfolio,"$14,153,932.50",07/15/2020,N/A,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CITIGROUP GLOBAL MARKETS INC,WILMINGTON TRUST NA,0x001035E5D3A703B7
FL,CAPITAL TR AGY FLA REV,07/30/2020,2020 A-2,Wonderful Foundations Charter School Portfolio/Wonderful Foundations Charter School Portfolio,"$3,000,000.00",07/15/2020,01/01/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CITIGROUP GLOBAL MARKETS INC,WILMINGTON TRUST NA,0x001035E3E1A40380
FL,CAPITAL TR AGY FLA REV,07/30/2020,2020 A-1,Wonderful Foundations Charter School Portfolio/Wonderful Foundations Charter School Portfolio,"$53,355,000.00",07/15/2020,01/01/2021,01/01/2025,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,CITIGROUP GLOBAL MARKETS INC,WILMINGTON TRUST NA,0x001035DAE1A403B9
CO,COLORADO EDL & CULTURAL FACS AUTH REV,07/31/2020,2020-B,Independence Academy Project/Independence Academy Project,"$180,000.00",07/24/2020,09/01/2020,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,NR / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,ZIONS BANCORPORATION NA,0x00103528A8B20314
CO,COLORADO EDL & CULTURAL FACS AUTH REV,07/31/2020,2020-A,Independence Academy Project/Independence Academy Project,"$7,075,000.00",07/24/2020,09/01/2020,09/01/2028,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,AA / N/A / N/A,N/A / N/A,SBAM,DA DAVIDSON AND CO,ZIONS BANCORPORATION NA,0x00103527A8B2031B
CO,COLORADO EDL & CULTURAL FACS AUTH REV,08/13/2020,2020-A,Academy of Advanced Learning Project/Academy of Advanced Learning Project,"$8,420,000.00",08/06/2020,12/01/2020,12/01/2023,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO,UMB BANK NA,0x001035DEEBC303D0
CO,COLORADO EDL & CULTURAL FACS AUTH REV,08/13/2020,2020-B,Academy of Advanced Learning Project/Academy of Advanced Learning Project,"$135,000.00",08/06/2020,12/01/2020,12/01/2023,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,DA DAVIDSON AND CO INC,UMB BANK NA,0x001035DFEBC303D1
CO,COLORADO EDL & CULTURAL FACS AUTH REV,08/26/2020,2020,Windsor Charter Academy Project/Windsor Charter Academy Project,"$10,305,000.00",08/14/2020,03/01/2021,08/26/2020,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,Baa2 / N/A,AA / N/A / N/A,N/A / N/A,SBAM,RBC CAPITAL MARKETS LLC,UMB BANK NA,0x0010354498CC0336
FL,FLORIDA DEV FIN CORP EDL FACS REV,07/31/2020,2020-D,Renaissance Charter School Inc Projects/Renaissance Charter School Inc Projects,"$6,145,000.00",07/22/2020,09/15/2020,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x0010354496AF035B
FL,FLORIDA DEV FIN CORP EDL FACS REV,07/31/2020,2020-C,Renaissance Charter School Inc Projects/Renaissance Charter School Inc Projects,"$60,035,000.00",07/22/2020,09/15/2020,09/15/2027,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,REGIONS BANK,0x0010354396AF035C
FL,FLORIDA DEV FIN CORP EDL FACS REV,09/03/2020,2020-B,UCP Charter Schools Projects/UCP Charter Schools Projects,"$450,000.00",08/19/2020,12/01/2020,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035B233D00377
FL,FLORIDA DEV FIN CORP EDL FACS REV,09/03/2020,2020-A,UCP Charter Schools Projects/UCP Charter Schools Projects,"$13,965,000.00",08/19/2020,12/01/2020,06/01/2028,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,RBC CAPITAL MARKETS LLC,US BANK NA,0x001035B133D00374
ID,IDAHO HSG & FIN ASSN NONPROFIT FACS REV,08/26/2020,2020-B,Gem Prep Meridian North LLC Charter School Project/Gem Prep Meridian North LLC Charter School Project,"$275,000.00",08/12/2020,01/01/2021,N/A,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANCORPORATION NA,0x001035A66AC90323
ID,IDAHO HSG & FIN ASSN NONPROFIT FACS REV,08/26/2020,2020-A,Gem Prep Meridian North LLC Charter School Project/Gem Prep Meridian North LLC Charter School Project,"$11,470,000.00",08/12/2020,01/01/2021,07/01/2025,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,ROBERT W BAIRD CO INC,ZIONS BANCORPORATION NA,0x001035A56AC90320
MI,MICHIGAN FIN AUTH LTD OBLIG REV,08/12/2020,2020,Bradford Academy Project/Bradford Academy Project,"$18,905,000.00",08/06/2020,09/01/2020,09/01/2030,Bond,Limited,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,N/A / N/A / N/A,N/A / N/A,N/A,COLLIERS SECURITIES LLC,UMB BANK NA,0x001035E620C60326
MI,MICHIGAN FIN AUTH LTD OBLIG REV,08/20/2020,2020,Landmark Academy Project/Landmark Academy Project,"$13,435,000.00",07/23/2020,12/01/2020,06/01/2027,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BB / N/A / N/A,N/A / N/A,N/A,PIPER SANDLER AND CO,US BANK NA,0x0010350BF240039F
PA,PHILADELPHIA PA AUTH FOR INDL DEV CHARTER SCH REV,08/03/2020,2020,Mast Community Charter School II Project/Mast Community Charter School II Project,"$27,705,000.00",07/21/2020,02/01/2021,08/01/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,BBB / N/A / N/A,N/A / N/A,N/A,PNC CAPITAL MARKETS INC,US BANK NA,0x001035C5CCAC0383
TX,POTTSBORO HIGHER ED FIN CORP TEX ED REV,08/25/2020,2020-B,A+ Charter Schools Inc/A+ Charter Schools Inc,"$310,000.00",07/30/2020,02/15/2021,N/A,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAXABLE,No,N/A / N/A,AAA / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,BOKF NA,0x0010355498BC0356
TX,POTTSBORO HIGHER ED FIN CORP TEX ED REV,08/25/2020,2020-A,A+ Charter Schools Inc/A+ Charter Schools Inc,"$12,140,000.00",07/30/2020,02/15/2021,08/15/2030,Bond,Negotiated,LOAN AGREEMENT,US FEDERAL TAX EXEMPT,No,N/A / N/A,AAA / N/A / N/A,N/A / N/A,N/A,BB AND T CAPITAL MARKETS,BOKF NA,0x0010355398BC0351
