cusip,maturity_date,par_amount,coupon_rate,original_price,original_yield,spread,spread_interpolated,deal_id,evaluated_price,evaluated_yield,spread_to_mmd,spread_to_mmd_interpolated,priceTo,reward
744396JM5,2033-07-01,,8.5,,,,,0x001035BCB5E008C4,,,,,,
744396JJ2,2043-07-01,,7.5,,,,,0x001035BBB5E008C3,,,,,,
744396JK9,2053-07-01,,7.75,,,,,0x001035BBB5E008C3,,,,,,
744396JL7,2063-07-01,,8.0,,,,,0x001035BBB5E008C3,,,,,,
04052DAA8,2025-11-01,450000000.0,7.0,100.0,7.0,529.1,576.0,0x00103594FBE002A8,,,,,,787500000.0
04052DAB6,2050-09-01,182425000.0,6.25,100.0,6.25,482.4,,0x001035A7E6F70390,82.6953285014,7.826331578,327.6,,MATY,182425000.0
74443DKV2,2054-07-01,77235000.0,7.5,98.5,7.625,410.5,,0x00106A5AA87601FF,89.2339391235,8.5052840519,389.5,,MATY,173778750.0
187145JT5,2048-08-15,195645000.0,6.125,98.312,6.25,308.0,,0x0010353927010238,100.265,2.7572030137,-174.3,,MATY,171189375.0
19645UQT4,2030-07-01,46510000.0,7.43,99.333,7.555,424.5,424.5,0x001035CC222009E2,102.0772822525,6.8801506881,433.0,433.0,PRMC,101391799.99999999
39237QBH7,2050-02-01,21755000.0,9.0,100.0,9.0,727.0,,0x0010351B6D0D045A,,,,,,81581250.0
12008ELZ7,2046-09-01,39370000.0,7.25,94.982,7.68,452.0,,0x001035B5D3B600F5,,,,,,78740000.0
041807BH0,2062-11-01,27825000.0,7.875,100.0,7.875,383.5,,0x001035A0F6230757,100.8646159075,7.63,301.0,,MATY,73040625.0
74443DKE0,2058-12-01,28620000.0,7.75,100.0,7.75,318.0,,0x001035B3583909FE,,,,,,71550000.0
83704MES1,2032-01-15,30465000.0,7.5,96.0,8.283,507.29999999999995,507.29999999999995,0x00106A390A5D0317,96.0123965385,8.7896717532,594.0,599.0,MATY,68546250.0
74443DKT7,2025-05-09,13455000.0,10.0,100.0,10.0,701.0,732.0,0x00106A56C8F60012,,,,,,63911250.0
83704MDA1,2033-06-01,26240000.0,7.5,100.0,7.5,455.0,455.0,0x001035D3B9DA089D,,,,,,59040000.0
91754T2C6,2059-06-15,37750000.0,6.75,98.0,6.902,321.20000000000005,,0x00106A69B2A40005,103.5639907953,6.109,148.9,,PRMC,56625000.0
546399US3,2053-06-15,48520000.0,6.375,99.033,6.45,191.0,,0x00106A37D5B90322,98.944255431,6.4566438399,185.7,,MATY,54585000.0
83704MCH7,2062-08-15,24210000.0,7.5,100.0,7.5,437.0,,0x001035EB7BD9066A,91.5121685889,8.235,361.5,,MATY,54472500.0
14043FAC0,2030-06-15,27025000.0,7.25,100.0,7.25,404.0,404.0,0x001035D8B709094A,101.591164654,6.6481506874,409.8,409.8,MATY,54050000.0
04052BTR5,2065-02-01,32780000.0,6.875,98.321,7.0,246.0,,0x00106AA587DD0386,97.2927824752,7.08,246.0,,MATY,53267500.0
546399UX2,2055-06-15,59015000.0,6.15,100.0,6.15,159.00000000000006,,0x00106A38D5B9032D,100.0106403473,6.1476438399,152.8,,MATY,53113500.00000002
14054WAG0,2033-06-30,23375000.0,7.5,100.0,7.5,418.0,418.0,0x0010357C3F44092B,,,,,,52593750.0
19909PAL0,2053-07-01,30000000.0,7.0,100.0,7.0,353.0,,0x00103558248D09DD,,,,,,52500000.0
34061UBV9,2046-06-15,58220000.0,6.125,98.701,6.22,302.0,,0x00102100D7DC615B,96.7886282058,6.4052191819,198.5,,MATY,50942500.0
68607AAF8,2053-12-15,18110000.0,8.0,95.001,8.46,475.0000000000001,,0x00103555DB7609D4,,,,,,49802500.0
546399UT1,2059-06-15,39750000.0,6.5,100.0,6.5,194.00000000000006,,0x00106A37D5B90322,99.1818044442,6.56,194.0,,MATY,49687500.0
744396KM3,2035-03-31,16995000.0,8.0,95.0,10.604,731.3999999999999,732.3999999999999,0x00106A869D600302,,,,,,46736250.0
04110DBF6,2059-07-01,26585000.0,7.0,96.832,7.25,357.0,,0x00106A6EDBCE0001,93.1837041606,7.56,294.0,,MATY,46523750.0
83704MCM6,2033-03-15,19400000.0,7.6,94.0,8.502,614.2,614.2,0x0010350E871808BC,,,,,,45589999.99999999
13058TVA5,2064-06-01,29735000.0,6.75,96.653,7.0,307.0,,0x00106A67639B02E7,96.4704206126,7.015,239.5,,MATY,44602500.0
50376FBW6,2052-09-01,33370000.0,6.58,100.0,6.58,297.0,,0x00103590B5F106F7,94.0352725669,7.0766438336,248.7,,MATY,44382100.0
744396JS2,2033-06-15,31325000.0,6.65,100.0,6.65,337.0,337.0,0x0010355123480916,100.9578894632,6.2823561693,334.2,334.2,MATY,43855000.00000001
04052BHM9,2049-06-01,25040000.0,7.0,100.0,7.0,445.0,,0x001035A56C1302FD,47.95,15.0873785496,1055.7,,MATY,43820000.0
5742186N8,2055-03-01,25000000.0,7.0,100.0,7.0,546.0,,0x00103586523B03C9,101.6861194706,6.5686438395,194.9,,MATY,43750000.0
50376HAG8,2031-06-15,19280000.0,7.5,99.291,7.625,518.5,518.5,0x0010351B05B9098B,,,,,,43380000.0
899519AA0,2057-06-01,19260000.0,7.5,100.0,7.5,409.0,,0x001035AEC5E206AA,,,,,,43335000.0
041807AZ1,2062-02-15,28350000.0,6.75,103.523,6.15,292.0,,0x00103564A5DA0638,97.5448865142,6.935,231.5,,MATY,42525000.0
